=== uv sync start Sat Sep  6 04:26:02 UTC 2025 ===
=== uv install end Sat Sep  6 04:35:47 UTC 2025 ===
=== experiment start Sat Sep  6 04:35:47 UTC 2025 ===
Loading dataset Cora – 3.26s
Sinkhorn curvature – 1.99s

===== Variant curvada_2 =====
Epoch   10 | loss 1.5540 | val 0.5800 | test 0.5200
Epoch   20 | loss 0.7320 | val 0.7860 | test 0.6970
Epoch   30 | loss 0.2911 | val 0.9300 | test 0.7880
Epoch   40 | loss 0.0992 | val 0.9800 | test 0.8100
Epoch   50 | loss 0.0360 | val 0.9960 | test 0.8090
Epoch   60 | loss 0.0167 | val 1.0000 | test 0.8020
Epoch   70 | loss 0.0094 | val 1.0000 | test 0.8010
Epoch   80 | loss 0.0064 | val 1.0000 | test 0.8000
Epoch   90 | loss 0.0050 | val 1.0000 | test 0.8000
Epoch  100 | loss 0.0042 | val 1.0000 | test 0.7990
Epoch  110 | loss 0.0037 | val 1.0000 | test 0.7990
Epoch  120 | loss 0.0033 | val 1.0000 | test 0.7990
Epoch  130 | loss 0.0031 | val 1.0000 | test 0.7990
Epoch  140 | loss 0.0029 | val 1.0000 | test 0.7980
Epoch  150 | loss 0.0028 | val 1.0000 | test 0.7970
Epoch  160 | loss 0.0027 | val 1.0000 | test 0.7970
Epoch  170 | loss 0.0027 | val 1.0000 | test 0.7960
Epoch  180 | loss 0.0026 | val 1.0000 | test 0.7960
Epoch  190 | loss 0.0026 | val 1.0000 | test 0.7960
Epoch  200 | loss 0.0026 | val 1.0000 | test 0.7960
Epoch   10 | loss 1.5566 | val 0.5840 | test 0.5030
Epoch   20 | loss 0.6975 | val 0.8260 | test 0.7100
Epoch   30 | loss 0.2559 | val 0.9400 | test 0.8070
Epoch   40 | loss 0.0856 | val 0.9840 | test 0.8240
Epoch   50 | loss 0.0321 | val 0.9980 | test 0.8280
Epoch   60 | loss 0.0153 | val 1.0000 | test 0.8210
Epoch   70 | loss 0.0089 | val 1.0000 | test 0.8130
Epoch   80 | loss 0.0062 | val 1.0000 | test 0.8170
Epoch   90 | loss 0.0049 | val 1.0000 | test 0.8170
Epoch  100 | loss 0.0041 | val 1.0000 | test 0.8170
Epoch  110 | loss 0.0036 | val 1.0000 | test 0.8160
Epoch  120 | loss 0.0033 | val 1.0000 | test 0.8170
Epoch  130 | loss 0.0031 | val 1.0000 | test 0.8180
Epoch  140 | loss 0.0029 | val 1.0000 | test 0.8160
Epoch  150 | loss 0.0028 | val 1.0000 | test 0.8140
Epoch  160 | loss 0.0027 | val 1.0000 | test 0.8130
Epoch  170 | loss 0.0027 | val 1.0000 | test 0.8130
Epoch  180 | loss 0.0027 | val 1.0000 | test 0.8130
Epoch  190 | loss 0.0026 | val 1.0000 | test 0.8130
Epoch  200 | loss 0.0026 | val 1.0000 | test 0.8130
Epoch   10 | loss 1.5673 | val 0.5860 | test 0.5040
Epoch   20 | loss 0.7143 | val 0.8460 | test 0.7290
Epoch   30 | loss 0.2710 | val 0.9460 | test 0.8080
Epoch   40 | loss 0.0910 | val 0.9860 | test 0.8160
Epoch   50 | loss 0.0325 | val 0.9980 | test 0.8160
Epoch   60 | loss 0.0145 | val 1.0000 | test 0.8110
Epoch   70 | loss 0.0082 | val 1.0000 | test 0.8090
Epoch   80 | loss 0.0056 | val 1.0000 | test 0.8090
Epoch   90 | loss 0.0044 | val 1.0000 | test 0.8080
Epoch  100 | loss 0.0037 | val 1.0000 | test 0.8060
Epoch  110 | loss 0.0033 | val 1.0000 | test 0.8060
Epoch  120 | loss 0.0030 | val 1.0000 | test 0.8060
Epoch  130 | loss 0.0028 | val 1.0000 | test 0.8080
Epoch  140 | loss 0.0026 | val 1.0000 | test 0.8080
Epoch  150 | loss 0.0025 | val 1.0000 | test 0.8080
Epoch  160 | loss 0.0025 | val 1.0000 | test 0.8100
Epoch  170 | loss 0.0024 | val 1.0000 | test 0.8100
Epoch  180 | loss 0.0024 | val 1.0000 | test 0.8100
Epoch  190 | loss 0.0024 | val 1.0000 | test 0.8100
Epoch  200 | loss 0.0024 | val 1.0000 | test 0.8100

===== Variant curvada_8 =====
Epoch   10 | loss 0.4863 | val 0.8480 | test 0.7490
Epoch   20 | loss 0.1880 | val 0.9480 | test 0.7980
Epoch   30 | loss 0.0752 | val 0.9720 | test 0.7790
Epoch   40 | loss 0.0294 | val 0.9880 | test 0.7730
Epoch   50 | loss 0.0155 | val 0.9980 | test 0.7540
Epoch   60 | loss 0.0050 | val 0.9980 | test 0.7530
Epoch   70 | loss 0.0019 | val 1.0000 | test 0.7540
Epoch   80 | loss 0.0007 | val 1.0000 | test 0.7520
Epoch   90 | loss 0.0003 | val 1.0000 | test 0.7510
Epoch  100 | loss 0.0002 | val 1.0000 | test 0.7530
Epoch  110 | loss 0.0002 | val 1.0000 | test 0.7550
Epoch  120 | loss 0.0001 | val 1.0000 | test 0.7550
Epoch  130 | loss 0.0001 | val 1.0000 | test 0.7550
Epoch  140 | loss 0.0001 | val 1.0000 | test 0.7550
Epoch  150 | loss 0.0001 | val 1.0000 | test 0.7550
Epoch  160 | loss 0.0001 | val 1.0000 | test 0.7550
Epoch  170 | loss 0.0001 | val 1.0000 | test 0.7550
Epoch  180 | loss 0.0001 | val 1.0000 | test 0.7550
Epoch  190 | loss 0.0001 | val 1.0000 | test 0.7540
Epoch  200 | loss 0.0001 | val 1.0000 | test 0.7540
Epoch   10 | loss 0.7310 | val 0.7500 | test 0.6580
Epoch   20 | loss 0.2677 | val 0.9460 | test 0.7920
Epoch   30 | loss 0.1216 | val 0.9560 | test 0.7790
Epoch   40 | loss 0.0534 | val 0.9860 | test 0.7840
Epoch   50 | loss 0.0222 | val 0.9860 | test 0.7650
Epoch   60 | loss 0.0093 | val 0.9980 | test 0.7690
Epoch   70 | loss 0.0032 | val 1.0000 | test 0.7660
Epoch   80 | loss 0.0015 | val 1.0000 | test 0.7690
Epoch   90 | loss 0.0008 | val 1.0000 | test 0.7680
Epoch  100 | loss 0.0005 | val 1.0000 | test 0.7690
Epoch  110 | loss 0.0003 | val 1.0000 | test 0.7700
Epoch  120 | loss 0.0003 | val 1.0000 | test 0.7690
Epoch  130 | loss 0.0002 | val 1.0000 | test 0.7710
Epoch  140 | loss 0.0002 | val 1.0000 | test 0.7700
Epoch  150 | loss 0.0002 | val 1.0000 | test 0.7710
Epoch  160 | loss 0.0002 | val 1.0000 | test 0.7710
Epoch  170 | loss 0.0002 | val 1.0000 | test 0.7710
Epoch  180 | loss 0.0002 | val 1.0000 | test 0.7710
Epoch  190 | loss 0.0002 | val 1.0000 | test 0.7710
Epoch  200 | loss 0.0002 | val 1.0000 | test 0.7710
Epoch   10 | loss 0.6100 | val 0.7840 | test 0.7120
Epoch   20 | loss 0.2600 | val 0.9320 | test 0.7730
Epoch   30 | loss 0.1332 | val 0.9620 | test 0.7860
Epoch   40 | loss 0.0534 | val 0.9840 | test 0.7670
Epoch   50 | loss 0.0167 | val 0.9980 | test 0.7550
Epoch   60 | loss 0.0069 | val 0.9980 | test 0.7550
Epoch   70 | loss 0.0030 | val 0.9980 | test 0.7570
Epoch   80 | loss 0.0011 | val 1.0000 | test 0.7560
Epoch   90 | loss 0.0005 | val 1.0000 | test 0.7580
Epoch  100 | loss 0.0003 | val 1.0000 | test 0.7580
Epoch  110 | loss 0.0002 | val 1.0000 | test 0.7570
Epoch  120 | loss 0.0002 | val 1.0000 | test 0.7580
Epoch  130 | loss 0.0001 | val 1.0000 | test 0.7580
Epoch  140 | loss 0.0001 | val 1.0000 | test 0.7580
Epoch  150 | loss 0.0001 | val 1.0000 | test 0.7580
Epoch  160 | loss 0.0001 | val 1.0000 | test 0.7570
Epoch  170 | loss 0.0001 | val 1.0000 | test 0.7570
Epoch  180 | loss 0.0001 | val 1.0000 | test 0.7570
Epoch  190 | loss 0.0001 | val 1.0000 | test 0.7570
Epoch  200 | loss 0.0001 | val 1.0000 | test 0.7570

===== Variant curvada_32 =====
Epoch   10 | loss 2.6958 | val 0.3440 | test 0.3090
Epoch   20 | loss 1.7119 | val 0.4420 | test 0.4200
Epoch   30 | loss 13.7299 | val 0.1840 | test 0.2050
Epoch   40 | loss 3.5486 | val 0.1700 | test 0.2040
Epoch   50 | loss 2.8992 | val 0.4100 | test 0.3830
Epoch   60 | loss 1.5189 | val 0.4200 | test 0.3850
Epoch   70 | loss 1.1088 | val 0.6620 | test 0.5830
Epoch   80 | loss 0.8738 | val 0.6920 | test 0.6210
Epoch   90 | loss 0.7622 | val 0.7140 | test 0.6340
Epoch  100 | loss 0.6677 | val 0.7660 | test 0.6810
Epoch  110 | loss 0.6004 | val 0.7840 | test 0.6950
Epoch  120 | loss 0.5538 | val 0.7920 | test 0.7070
Epoch  130 | loss 0.5024 | val 0.8520 | test 0.7660
Epoch  140 | loss 0.4774 | val 0.8580 | test 0.7660
Epoch  150 | loss 0.4609 | val 0.8620 | test 0.7690
Epoch  160 | loss 0.4513 | val 0.8640 | test 0.7680
Epoch  170 | loss 0.4458 | val 0.8640 | test 0.7680
Epoch  180 | loss 0.4429 | val 0.8620 | test 0.7680
Epoch  190 | loss 0.4417 | val 0.8620 | test 0.7680
Epoch  200 | loss 0.4415 | val 0.8620 | test 0.7680
Epoch   10 | loss 1.9792 | val 0.3560 | test 0.3530
